鄉鎮市區碼,醫院家數,醫事人員總計,西醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生,臨床社會工作人員,其他技術人員,行政事務人員,技工工友司機,鄉鎮市區名稱
501,4,342,47,5,1,15,0,14,0,11,0,161,44,0,0,5,12,8,11,0,1,0,7,0,0,0,0,6,8,74,57,臺南市新營區
503,1,40,6,0,0,2,0,2,0,1,1,18,6,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,6,1,臺南市白河區
504,1,420,55,1,4,19,0,14,0,8,0,263,25,0,0,4,6,3,6,0,2,0,6,3,1,0,0,3,43,117,72,臺南市麻豆區
505,2,379,43,0,1,16,0,14,0,12,1,227,36,0,0,3,9,2,5,0,0,0,8,2,0,0,0,2,20,113,25,臺南市佳里區
506,2,106,17,2,0,8,0,6,0,4,0,54,8,0,0,2,1,0,3,0,1,0,0,0,0,0,0,2,4,19,11,臺南市新化區
507,2,47,7,0,0,4,0,4,0,2,1,11,12,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,2,17,12,臺南市善化區
509,1,1340,126,7,10,53,0,59,0,54,0,921,29,0,0,8,23,0,15,0,2,0,25,5,2,1,0,13,82,227,128,臺南市柳營區
519,1,20,2,0,0,2,0,0,0,0,0,4,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,1,0,2,1,臺南市北門區
527,2,314,35,2,0,22,0,17,0,8,0,194,8,0,0,2,2,0,14,0,10,0,0,0,0,0,0,11,20,98,75,臺南市仁德區
531,4,2878,500,18,59,111,0,126,0,91,0,1713,94,0,0,23,36,10,23,3,5,0,49,8,8,1,0,23,329,698,484,臺南市永康區
532,3,1559,208,6,24,71,0,82,1,40,2,968,67,0,1,15,14,9,18,1,4,0,17,5,5,1,0,13,219,334,172,臺南市東區
533,1,56,8,0,0,3,0,1,0,0,0,36,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,3,5,18,6,臺南市南區
534,6,1229,169,6,3,62,1,66,0,33,3,675,109,0,0,11,20,18,18,4,3,1,19,7,1,0,0,11,57,297,175,臺南市中西區
535,5,2485,612,3,33,89,1,98,1,75,0,1432,47,0,0,15,15,4,11,3,6,0,31,5,3,1,0,21,81,337,313,臺南市北區
701,8,447,48,7,1,32,0,17,0,6,5,221,69,0,1,6,7,9,5,2,0,0,10,1,0,0,0,2,17,136,20,高雄市鳳山區
702,6,499,64,0,10,26,0,18,0,14,1,230,73,0,1,6,12,15,17,3,4,1,2,2,0,0,0,6,47,195,30,高雄市岡山區
703,5,428,66,1,1,21,0,14,0,10,1,195,76,0,0,5,12,8,9,2,1,0,4,2,0,0,0,4,9,135,89,高雄市旗山區
704,1,16,2,0,0,2,0,0,0,1,0,3,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,4,1,高雄市美濃區
705,2,253,35,0,2,13,0,12,0,8,0,139,35,0,0,2,1,2,2,0,0,0,2,0,0,0,0,1,10,93,6,高雄市林園區
706,3,165,16,0,0,16,0,8,0,3,0,86,22,0,0,1,0,0,6,1,6,0,0,0,0,0,0,6,7,49,35,高雄市大寮區
710,1,3982,659,27,47,159,0,113,1,86,0,2622,91,0,1,28,18,1,19,2,10,0,86,8,4,0,0,24,471,721,33,高雄市鳥松區
711,1,29,5,0,0,2,0,0,0,1,0,13,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,9,3,高雄市橋頭區
712,2,1942,327,9,19,79,0,71,0,54,2,1242,52,0,0,13,10,6,14,3,7,0,29,2,3,0,0,18,145,463,32,高雄市燕巢區
714,1,19,2,0,0,2,0,1,0,1,0,6,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,2,6,1,高雄市阿蓮區
715,2,78,7,0,0,6,0,1,1,3,0,23,12,0,0,1,8,7,4,2,0,0,2,1,0,0,0,0,2,33,2,高雄市路竹區
729,5,625,101,0,2,34,0,35,0,15,2,115,292,0,0,8,7,4,5,0,1,0,1,2,1,0,0,3,18,124,82,高雄市鼓山區
730,5,2904,619,5,29,120,1,144,0,91,0,1699,94,0,0,20,22,4,16,1,9,1,19,4,4,2,0,26,168,469,296,高雄市左營區
731,4,426,47,0,0,27,1,21,0,13,3,225,55,0,0,5,8,10,4,1,0,0,6,0,0,0,0,1,18,117,19,高雄市楠梓區
732,13,3336,656,5,61,142,1,143,2,92,6,1984,122,0,0,19,21,6,20,1,7,0,38,5,4,1,0,18,298,611,281,高雄市三民區
733,7,234,24,0,0,15,0,6,2,6,1,91,58,0,0,5,7,4,5,1,1,0,4,4,0,0,0,1,12,56,20,高雄市新興區
734,7,899,107,12,4,58,0,40,0,28,1,532,53,0,0,5,22,10,14,0,1,0,7,4,1,0,0,6,34,235,43,高雄市前金區
